id,label,layer,dominant_mnemonic,icon_design,detail_design,physics_idea,icon_labels,detail_labels,avoid,icon_caption,detail_caption
1.3,Principle of relativity,1,Identical laws in relatively moving inertial frames,"Simplify the detailed diagram to two identical S and S' coordinate frames plus one relative-velocity arrow v. Retain one matching internal straight test trace in each frame so the icon still says same experiment, same laws.","Design the detailed graphic first as two equal inertial laboratories S and S', each with the same x/y axes and the same simple internal experiment: a straight particle trace or identical ruler/tick marks. Put one clean relative-velocity arrow v between the laboratories. The two frames should look equally legitimate and equally detailed; only their relative motion differs.",The principle of relativity says the laws of physics have the same form in every inertial frame; uniform relative motion does not single out an absolute rest frame.,"S, S', x, y, v","S, S', x, y, v","Acceleration, forces, curved paths, engines, rockets, planets, clocks, or making one frame larger, richer, or more privileged than the other.",Two equal inertial frames and one relative-velocity arrow: the icon says neither frame is privileged.,"The same simple internal experiment appears in two uniformly moving inertial frames, emphasizing that the laws have the same form in both."
1.2,Constancy of the speed of light,1,Same circular light wavefront for all inertial observers,"Simplify the detailed diagram to one central source, three concentric blue wavefronts, and two radial rays labelled c. The invariant circular wavefront is the icon.","Design the detailed graphic as a central light flash with expanding circular wavefronts, plus two or three small peripheral inertial-frame markers sampling the wavefront in different directions. Each marker should point radially to the same wavefront with a small c label, making the invariant speed the lesson. The observer markers are secondary; the circular wavefront remains central.","The constancy of the speed of light says light in vacuum has the same speed c for all inertial observers, independent of source or observer motion.",c,c,"Material media, mirrors, prisms, lenses, stars, rockets, detailed people, or anything suggesting direction-dependent or observer-dependent light speed.",Concentric wavefronts and repeated c labels: light speed is the same in different directions.,A central flash emits circular wavefronts sampled by different inertial markers; each radial ray represents the same invariant speed c.
1.1,Inertial frames,1,Free particle moves in a straight line at constant velocity,"Simplify the detailed diagram to one x/y frame, a straight green particle track, equally spaced dots, and a velocity arrow v.",Design the detailed graphic as a coordinate frame containing a free particle shown at several equally spaced positions along one straight line. Add faint equal-time tick marks perpendicular to the track and a constant-velocity arrow v. The equal spacing and straightness are the teaching points: no force and no acceleration in an inertial frame.,An inertial frame is one in which a free particle moves with constant velocity unless acted on by forces.,"x, y, v","x, y, v","Gravitational fields, curved paths, circular motion, springs, engines, rockets, clocks, or force arrows.",A straight track with equal positions shows free motion at constant velocity.,The equal spacing along a straight line inside one coordinate frame indicates no force and no acceleration in an inertial frame.
2.2,Spacetime event,2,One occurrence specified by where and when,"Simplify the detailed diagram to x/ct axes, one red event P, and faint coordinate projections. Place P away from any 45-degree line so it does not look lightlike or special.","Design the detailed graphic as a spacetime coordinate diagram with one red event P at an arbitrary non-45-degree location. Add dashed projections to x and ct axes and small coordinate-corner markers to show that an event is specified by both where and when. Keep it as a single occurrence, not a worldline or process.",A spacetime event is one occurrence specified by both position and time; different observers may assign coordinates to the same event.,"x, ct, P","x, ct, P","Worldlines, light cones, multiple events, clocks, observers, equations, or placing P on a 45-degree light ray unless lightlike separation is the topic.",One red point marks a single spacetime event with x and ct coordinates.,The event P is a single occurrence; dashed projections show how one frame assigns position and time coordinates to it.
2.3,Principle of locality,2,Interactions use only nearby quantities at one event,"Simplify the detailed diagram to faint x/ct axes, a dashed local neighbourhood, a central red event, and several short arrows ending at that event.","Design the detailed graphic as a central event inside a small dashed neighbourhood, with short arrows from nearby field values or neighbouring events terminating at the central event. Add one faint unconnected distant dot outside the neighbourhood to show what is not allowed: instantaneous distant action. The active arrows must all be short and local.","The principle of locality says physical interactions at an event depend on quantities defined at that event or infinitesimally nearby, not on instantaneous distant action.","x, ct","x, ct","Instantaneous long-distance action, distant force arrows, planets, magnets, or particles acting across empty space.",Short arrows meet at one event inside a local neighbourhood.,"Only nearby quantities feed the central event, illustrating locality rather than instantaneous influence from distant points."
3.3,Lorentz transformations,3,Same event described by tilted coordinate frames,"Simplify the detailed diagram to black x/ct axes, blue tilted x'/ct' axes, and one red event P. Keep the tilted primed axes as the icon silhouette.","Design the detailed graphic as one spacetime diagram containing unprimed x/ct axes and tilted primed x'/ct' axes sharing the same origin. Place a red event P at a generic non-45-degree location. Add dashed projection lines from P to both coordinate systems, showing that the same event receives different coordinate descriptions. Add very faint light-cone guide lines through the origin only if they help show preserved structure without dominating.",Lorentz transformations do not move the physical event; they change the coordinate description between inertial frames while preserving spacetime structure.,"x, ct, x', ct', P","x, ct, x', ct', P","Letting light-cone guides dominate, full equations, clocks, observers, rockets, or placing P on a 45-degree light ray.",Tilted primed axes and unprimed axes describe the same event P.,Dashed projections show that Lorentz transformations change coordinate descriptions while leaving the event itself unchanged.
3.2,Spacetime interval,3,Invariant classification of separations,Simplify the detailed diagram to two red events A and B connected by one bold blue interval segment labelled s^2. Use a non-45-degree separation for the icon.,"Design the detailed graphic as a spacetime diagram with a central event O and three example separations: a timelike interval inside the light cone labelled s^2 > 0, a spacelike interval outside the light cone labelled s^2 < 0, and a lightlike interval on the cone labelled s^2 = 0. Use light-cone guide lines and make the three classifications visually distinct. The timelike/spacelike example points should be deliberately away from accidental 45-degree placement.","The spacetime interval is the invariant separation between events; its sign classifies timelike, spacelike, and lightlike relationships independent of coordinate description.","x, ct, A, B, s^2","x, ct, s^2 > 0, s^2 < 0, s^2 = 0","Making coordinate projection legs more prominent than the invariant separations, writing the full interval formula, or accidentally placing arbitrary event pairs on 45-degree light rays.",Two events joined by s^2 represent an invariant spacetime separation.,"Three separations from one event show the interval sign classes: timelike, spacelike, and lightlike."
3.1,Metric tensor,3,Metric as the spacetime measuring rule,"Simplify the detailed diagram to an eta tile applied to x/ct axes, with one blue time-like mark and one grey space-like mark.","Design the detailed graphic as an actual compact 4x4 diagonal Minkowski metric matrix labelled eta_mu_nu, with +1 in the time slot and -1 entries in the three spatial slots. Pair it with a small spacetime-axis inset showing a blue time-like component and grey space-like component being measured by the matrix. The matrix should be readable in the panel but reducible to the eta tile in the icon.",The metric tensor is the rule that turns coordinate components into invariant spacetime lengths and inner products. It distinguishes the time direction from space directions.,"ct, x, eta","eta_mu_nu, +1, -1, ct, x","A dense derivation, tensor-index clutter beyond the metric label, or anything that looks like an ordinary Euclidean ruler with all directions equivalent.",The eta tile and time/space marks indicate the metric as a measuring rule.,"The parenthesized Minkowski metric displays +1 for time and -1 for space, with a small axis inset showing what it measures."
3.4,Light cone,3,Causal boundary from one event,Simplify the detailed diagram to one central red event and four 45-degree blue light rays forming future and past cones on x/ct axes.,"Design the detailed graphic as a pure spacetime diagram with one central event, future and past light-cone boundaries, lightly shaded future/past causal regions, and clearly separate spacelike side regions. Add small labels such as future, past, or c only if they remain unobtrusive. This is the concept where 45-degree lines are intentional and should dominate.",The light cone divides spacetime into causally reachable and spacelike-separated regions.,"ct, x","ct, x, c, future, past","Extra worldlines, multiple arbitrary events, tilted coordinate frames, or visual clutter. This one should remain geometrically pure.",Four 45-degree rays form the causal light cone from one event.,The shaded cone separates future and past causal regions from spacelike regions; the c label marks the lightlike boundary.
3.5,Minkowski diagram,3,Spacetime plotting board with worldlines,"Simplify the detailed diagram to x/ct axes with three worldlines: black vertical rest line, green slanted massive-particle line, and one blue 45-degree light ray labelled c.","Design the detailed graphic as a working spacetime plot: x/ct axes, faint grid, a vertical rest worldline, a slanted sub-light massive-particle worldline, and one 45-degree light ray labelled c. Add arrowheads upward in time and a couple of event dots on the worldlines. Ensure the massive-particle line is visibly not at 45 degrees so it is not confused with light.","A Minkowski diagram is the visual tool for comparing events, worldlines, light propagation, and relative motion in spacetime.","x, ct, c","x, ct, c","Making it look like the light-cone graphic. Use one light ray, not the full cone; avoid placing massive-particle worldlines at 45 degrees.","A Minkowski plot combines a rest line, a massive-particle line, and a light ray.",The grid and event dots make this a working spacetime diagram for comparing worldlines and light propagation.
4.1,Proper time,4,Clock ticks accumulated along a worldline,Simplify the detailed diagram to one non-lightlike worldline from A to B with short tick marks along it and label tau. Keep coordinate-time projection out of the icon unless there is room.,"Design the detailed graphic as a spacetime diagram with two events A and B joined by a timelike worldline that is deliberately not at 45 degrees. Draw several small clock ticks along the worldline and a faint vertical coordinate-time projection on the ct axis, so the contrast is between elapsed proper time along the path and coordinate time in a chosen frame. If a second faint alternative path is included, keep it secondary and use it only to show path dependence of proper time.","Proper time is the invariant time measured by a clock travelling along a particular worldline between events. It belongs to the path, not to one observer's coordinate time alone.","A, B, tau","x, ct, A, B, tau, t","A free-floating clock face, making coordinate time look invariant, excessive competing paths, or placing the worldline at 45 degrees unless discussing light where proper time vanishes.",Ticks along a timelike worldline represent accumulated proper time tau.,The clock ticks belong to the path from A to B; the faint coordinate-time projection is a frame-dependent comparison.
4.2,Four-vectors,4,One spacetime object with four linked components,"Simplify the detailed diagram to one spacetime arrow A^mu and a compact four-slot component stack. The icon should read as one object, not four independent arrows.","Design the detailed graphic as a spacetime arrow A^mu drawn from an origin to a generic event-like point away from 45 degrees, with dashed time and space projections feeding into a grouped four-component column. Add a small invariant-length marker or metric tile nearby to show that the components belong to one Lorentz-transforming object with a shared invariant structure.",A four-vector is one geometric object whose components transform together under Lorentz transformations while preserving invariant inner products.,A^mu,"x, ct, A^mu, A^0, A^i","A dense component equation, ordinary 3D perspective, four unrelated arrows, or placing the example arrow accidentally on a lightlike 45-degree direction.",One spacetime arrow and a component column represent a single four-vector.,"The arrow is one Lorentz-transforming object, while the parenthesized entries indicate linked components, not separate vectors."
4.3,Position four-vector,4,Event position packaged as a four-vector from the origin,"Simplify the detailed diagram to x/ct axes, one red event P away from 45 degrees, and one blue arrow x^mu from the origin to P.","Design the detailed graphic as a spacetime coordinate diagram with an origin event O, an arbitrary event P at a non-45-degree location, and a bold arrow x^mu from O to P. Add dashed projections to ct and x axes and a small component stack (ct, x, y, z) to show the event coordinates packaged as one four-vector. The coordinate projections are explanatory; the origin-to-event vector is central.",The position four-vector packages the spacetime coordinates of one event into a four-vector; differences of such vectors determine intervals.,"x, ct, P, x^mu","O, P, x^mu, ct, x","Multiple events as the main focus, velocity or momentum arrows, full coordinate algebra, or placing P on a 45-degree light ray.",The position four-vector points from the origin event O to event P.,Dashed projections and the coordinate pair indicate that x^mu packages the event coordinates in the spacetime diagram.
4.4,Velocity four-vector,4,Tangent to a timelike worldline per unit proper time,"Simplify the detailed diagram to a curved timelike worldline, one red event, and a green tangent arrow u^mu at that event.",Design the detailed graphic as a timelike worldline in x/ct with two nearby tick marks labelled tau and tau + d tau. At the central event draw a bold tangent vector u^mu that points inside the light cone and is not at 45 degrees. Add a faint dx^mu displacement between neighbouring points to imply u^mu = dx^mu/dtau without making the equation dominate.,"The velocity four-vector is the derivative of position four-vector with respect to proper time, so it is naturally shown as a tangent to the worldline.",u^mu,"x, ct, u^mu, dx^mu, d tau","A horizontal ordinary velocity arrow, speedometer imagery, making acceleration curvature the main topic, or drawing the tangent as lightlike at 45 degrees for a massive particle.",A green tangent vector at a worldline event represents four-velocity.,Nearby proper-time ticks suggest u^mu = dx^mu/dtau: the four-velocity is tangent to a timelike worldline.
4.5,Momentum four-vector,4,Energy and momentum as one timelike four-vector,Simplify the detailed diagram to one bold p^mu arrow with a split badge showing E/c as the time component and p as the space component.,"Design the detailed graphic as a timelike four-vector p^mu in spacetime, paired with a compact component badge whose upper slot is E/c and lower spatial slot is bold p. Add a faint parallel u^mu arrow behind it and a small mass marker m to suggest p^mu = m u^mu for a massive particle. The p^mu arrow should sit inside the light cone rather than on a 45-degree light ray.","The momentum four-vector combines energy and three-momentum into one relativistic object, proportional to the velocity four-vector for a massive particle.","p^mu, E/c, p","p^mu, E/c, p, m, u^mu","A Newtonian-only momentum arrow, separate unrelated energy and momentum icons, a long equation, or drawing massive momentum as lightlike.",The four-momentum arrow combines energy and spatial momentum.,The component badge separates E/c and p while the faint u^mu cue recalls p^mu = m u^mu for a massive particle.
4.6,Mass-energy equivalence,4,Rest energy equals mass times c squared,"Simplify the detailed diagram to the iconic equation E=mc^2 in a bold equation tile, with rest energy as a secondary cue.","Design the detailed graphic as a large E=mc^2 equation tile connected to a compact invariant-norm relation p_mu p^mu = m^2 c^2 and a rest-frame note p=0. The equation should remain the visual center, with the derivation cue explaining that it comes from the four-momentum norm.",Mass-energy equivalence is the rest-frame consequence of the relativistic energy-momentum relation.,E=mc^2,"E=mc^2, p_mu p^mu = m^2 c^2, p=0","A generic explosion, nuclear imagery as the main motif, implying total energy is always just mc^2, or separating mass and energy as unrelated quantities.",The iconic equation marks rest energy as mass times c squared.,The invariant four-momentum norm reduces to E=mc^2 in the rest frame.
5.2,Action principle,5,Physical history selected by stationary action,"Simplify the detailed diagram to endpoints A and B, one bold blue stationary path labelled S, and two faint nearby varied paths.","Design the detailed graphic as fixed endpoints A and B with a family of nearby varied paths between them. The physical path is highlighted in blue and labelled stationary S, while grey neighbouring paths carry small variation arrows delta x toward it. Add a subtle flat-bottom or level contour cue near S to communicate stationary rather than shortest. The image should feel like variation of histories, not a maze.",The action principle says the physical path is the one for which the action is stationary under small variations with fixed endpoints.,"A, B, S","A, B, S, delta x","A maze, tangled spaghetti paths, force arrows, or any minimum-distance cue that erases the stationary-not-necessarily-shortest idea.",A highlighted path between fixed endpoints is compared with nearby variations.,"The blue path is selected by stationary action; nearby grey paths and delta x cues show variation, not shortest distance."
5.1,Lagrangian,5,Local dynamical rule accumulated into action,Simplify the detailed diagram to a short trajectory with one highlighted local tile L feeding into a larger action tile S.,"Design the detailed graphic as a path or field-history strip carrying several small local L tiles along it, each representing the Lagrangian evaluated locally. Use arrows from those tiles into an integral/action container S, optionally marked integral L dt, to show accumulation into the action. Keep it visually local-to-global and distinct from phase-space Hamiltonian pictures.",The Lagrangian is the local dynamical quantity whose integral over a path gives the action used in the variational principle.,"L, S","L, S, integral L dt","A full formula for L, Hamiltonian q/p axes, energy-conservation imagery, or making L look like a conserved quantity.",Local Lagrangian tiles accumulate into the action S.,"Repeated L values along a history feed the action, expressing S as the integral of a local dynamical rule."
5.3,Euler-Lagrange equations,5,Stationary variation becoming equations of motion,"Simplify the detailed diagram to a blue path, a nearby varied path with delta mark, and an arrow into an E-L equation tile.","Design the detailed graphic as a three-stage flow: fixed endpoints with varied paths, a central stationary-action condition delta S = 0, and a clean trajectory emerging from an Euler-Lagrange tile. The E-L tile can contain a compact label rather than the full differential equation. The viewer should read variation first, equation second, motion third.",Euler-Lagrange equations are the equations of motion obtained by requiring the action to be stationary under variations of the path or field.,"delta, E-L","A, B, delta S = 0, E-L","Writing the full differential equation as the main graphic, cluttered calculus notation, generic balance scales, or losing the fixed-endpoint variation idea.",A varied path leads to an Euler-Lagrange equation tile.,The graphic reads from fixed-endpoint variations through delta S = 0 to the equations of motion.
5.5,Hamiltonian formalism,5,Time evolution as flow through phase space,"Simplify the detailed diagram to q and p axes, one curved phase-space trajectory with arrowheads, and a compact H tile.","Design the detailed graphic as a phase-space portrait with q horizontal and p vertical, one or two Hamiltonian contour curves, and a green flow line with several arrowheads generated by H. Include a small H tile or contour label. Make the visual vocabulary clearly phase-space, not spacetime: no ct axis and no worldlines.","Hamiltonian formalism rewrites dynamics in terms of coordinates and canonical momenta, with the Hamiltonian generating flow through phase space.","q, p, H","q, p, H","Spacetime x/ct axes, Lagrangian path variations, Legendre-transform algebra, or a single particle track with no phase-space meaning.",A curve in q-p phase space is generated by H.,"Hamiltonian contours and arrowheads show time evolution as flow through phase space, not motion through spacetime."
5.4,Canonical momentum,5,Momentum paired with a coordinate through the Lagrangian,Simplify the detailed diagram to a q coordinate mark with its paired p arrow and a small L-to-p cue.,"Design the detailed graphic as a coordinate q on a configuration axis with velocity qdot indicated locally, an L tile that depends on qdot, and an arrow from L through a compact derivative tag dL/dqdot into the conjugate momentum p. Pair q and p visually as canonical partners while keeping p distinct from relativistic four-momentum.","Canonical momentum is the momentum conjugate to a coordinate, defined from how the Lagrangian depends on the corresponding velocity.","q, p","q, qdot, L, dL/dqdot, p","Relativistic four-momentum as the main image, a simple free-particle track, a full partial-derivative formula, or phase-space flow that belongs to Hamiltonian formalism.",The coordinate q is paired with a conjugate momentum p.,The Lagrangian and derivative tile show that canonical momentum is derived from the velocity dependence of L.
5.6,Noether's theorem,5,Continuous symmetry producing conserved quantity,Simplify the detailed diagram to a circular symmetry arrow around S pointing to a gold conserved Q badge.,"Design the detailed graphic as a continuous symmetry transformation acting on the action S, shown by a smooth circular or sliding arrow, with the transformed action still marked unchanged. From that unchanged-action badge draw a clear implication arrow to a locked conserved quantity Q. Optionally include one tiny example token such as time shift to energy, but only if it does not crowd the theorem graphic.","Noether's theorem links every continuous symmetry of the action to a conserved quantity, such as energy, momentum, or charge.","S, Q","S unchanged, Q conserved","A generic theorem scroll, too many examples, discrete-only symmetry imagery, or making conservation appear without the symmetry-to-action link.",A continuous symmetry of S points to a conserved Q.,"The unchanged action under a smooth transformation leads to a conserved quantity, the core Noether relation."
